"lhs","op","rhs","label","est","se","pvalue","ci.lower","ci.upper","std.all"
"Attitude","~","Source","a1",0.0478,0.0877,0.5855,-0.1263,0.2201,0.0393
"Attitude","~","Frame","a2",0.0884,0.0873,0.3113,-0.0802,0.2622,0.0726
"Attitude","~","Sex","",0.091,0.0862,0.291,-0.0759,0.2598,0.0746
"Trust","~","Source","a3",-0.4951,0.0922,0,-0.6764,-0.3134,-0.3617
"Trust","~","Frame","",0.0681,0.0914,0.4565,-0.1126,0.2449,0.0498
"Trust","~","Sex","",0.0662,0.09,0.4621,-0.112,0.2462,0.0484
"SE","~","Frame","a4",0.0838,0.1275,0.511,-0.1685,0.3365,0.0458
"SE","~","Source","",-0.3033,0.1288,0.0185,-0.5494,-0.05,-0.1657
"SE","~","Sex","",0.2467,0.1237,0.0462,0.0041,0.4941,0.1347
"Intention","~","Source","c1",0.0221,0.0657,0.7361,-0.106,0.154,0.0174
"Intention","~","Frame","c2",0.0259,0.0606,0.669,-0.0944,0.1409,0.0203
"Intention","~","Attitude","b1",0.7478,0.0719,0,0.596,0.876,0.715
"Intention","~","Trust","b2",0.0607,0.0591,0.3044,-0.0426,0.1916,0.0652
"Intention","~","SE","b3",0.1343,0.0418,0.0013,0.0557,0.2195,0.1929
"Intention","~","Sex","",0.051,0.0593,0.3899,-0.067,0.1731,0.04
