"lhs","op","rhs","label","est","se","pvalue","ci.lower","ci.upper","std.all"
"Attitude","~","Source","a1",0.0478,0.0877,0.5855,-0.1263,0.2201,0.0393
"Attitude","~","Frame","a2",0.0884,0.0873,0.3113,-0.0802,0.2622,0.0726
"Attitude","~","Sex","",0.091,0.0862,0.291,-0.0759,0.2598,0.0746
"Trust","~","Source","a3",-0.4951,0.0922,0,-0.6764,-0.3134,-0.3617
"Trust","~","Frame","",0.0681,0.0914,0.4565,-0.1126,0.2449,0.0498
"Trust","~","Sex","",0.0662,0.09,0.4621,-0.112,0.2462,0.0484
"SE","~","Frame","a4",0.0838,0.1275,0.511,-0.1685,0.3365,0.0458
"SE","~","Source","",-0.3033,0.1288,0.0185,-0.5494,-0.0501,-0.1657
"SE","~","Sex","",0.2467,0.1237,0.0462,0.0041,0.4941,0.1347
"Intention","~","Source","c1",0.0198,0.0652,0.7617,-0.1063,0.1499,0.0161
"Intention","~","Frame","c2",0.0205,0.0593,0.73,-0.0984,0.1326,0.0167
"Intention","~","Attitude","b1",0.6943,0.0807,0,0.5175,0.8316,0.6912
"Intention","~","Trust","b2",0.0269,0.0588,0.6473,-0.0789,0.1531,0.0301
"Intention","~","SE","b3",0.1025,0.0415,0.0134,0.026,0.1881,0.1532
"Intention","~","HC_c","d1",0.1689,0.1034,0.1024,-0.0221,0.3847,0.1606
"Intention","~","Source_HC","d2",7e-04,0.1144,0.9948,-0.2347,0.213,5e-04
"Intention","~","Sex","",0.044,0.059,0.4565,-0.0744,0.161,0.0359
