"lhs","rhs","est.std","se","pvalue"
"Attitude","att1",0.686729201264046,0.0458627482464196,0
"Attitude","att2",0.519973130081165,0.0715705158660052,3.72590847064203e-13
"Attitude","att3",0.646563492750048,0.058128057340471,0
"Intention","int1",0.74032598214524,0.0432936069945574,0
"Intention","int2",0.634841569351414,0.0646969621350471,0
"Intention","int3",0.729529100303758,0.0482736626257893,0
"SE","se1",0.674249028708309,0.0741498191701964,0
"SE","se2",0.796048005824184,0.0366798702205197,0
"SE","se3",0.866597027254597,0.0390478624808503,0
"Trust","tr1",0.753271788905153,0.0497921213157913,0
"Trust","tr2",0.743335025248268,0.0479229281130823,0
"Trust","tr3",0.57361129691344,0.0526082040905092,0
"Trust","tr4",0.624896238517208,0.0605394693953975,0
"Trust","tr5",0.698933610183575,0.052460669932093,0
"HC","hc1",0.623240269604127,0.0610445401917145,0
"HC","hc2",0.656310773964897,0.0630066202528694,0
"HC","hc3",0.557185389602826,0.0699874061289369,1.77635683940025e-15
"HC","hc4",0.709330547165768,0.0499718219057706,0
"HC","hc5",0.476247931370021,0.0645729033606304,1.63868918434673e-13
"HC","hc6",0.430240540299145,0.0785486770186054,4.31682352086682e-08
