NO,作答ID,用户ID,开始时间,结束时间,作答总时长(秒),作答渠道,发布ID,问卷发布名称,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,随机元素,请阅读上述知情同意书,您目前是否在职（包括全职、兼职、灵活、自雇等）？,过去一个月，您平均每周锻炼几次？,您每次锻炼平均多长时间（分钟）,[image],[image],[image],[image],Source,Frame,您觉得刚刚给出的健身计划是,您觉得刚刚给出的健身计划是,您觉得刚刚给出的健身计划是,Attitude,根据刚刚阅读的运动健康计划，请根据您的真实想法，评价以下每句话与您情况的符合程度-我预计会按照健身计划的建议去做,根据刚刚阅读的运动健康计划，请根据您的真实想法，评价以下每句话与您情况的符合程度-我想要按照给的健身计划的建议去做,根据刚刚阅读的运动健康计划，请根据您的真实想法，评价以下每句话与您情况的符合程度-我打算按照健身计划的建议去做,Intention,如果你真的很有动力，对你来说，接下来一个月里坚持规律运动的难易程度是？「规律运动」是指：在空闲时间里，每周至少3次，每次持续20到30分钟以上的高强度体育活动，其强度足以感到呼吸急促、心跳加快并大量出汗。,如果你真的很有动力，你有多大信心能在接下来一个月里坚持规律运动？,如果你真的很有动力，你有多确定自己能在接下来一个月里坚持规律运动？,SE,您觉得AI聊天机器人是,您觉得AI聊天机器人是,您觉得AI聊天机器人是,您觉得AI聊天机器人是,您觉得AI聊天机器人是,Trust,以下是一些关于您对自己健康看法的陈述。请根据实际情况，选择最能描述您的选项-我经常思考我的健康问题,以下是一些关于您对自己健康看法的陈述。请根据实际情况，选择最能描述您的选项-我非常在意自己的健康,以下是一些关于您对自己健康看法的陈述。请根据实际情况，选择最能描述您的选项-我非常关注自己的健康,以下是一些关于您对自己健康看法的陈述。请根据实际情况，选择最能描述您的选项-我经常检查自己的健康状况,以下是一些关于您对自己健康看法的陈述。请根据实际情况，选择最能描述您的选项-我会注意一天当中身体的感受,以下是一些关于您对自己健康看法的陈述。请根据实际情况，选择最能描述您的选项-我通常能意识到自己的健康状况,HC,Sex,您的年龄是,您的工作类型是,您的工作类型是-其他-文本,您的工作方式是,您觉得您平常的工作需要久坐吗,您从事的行业是,您从事的行业是-其他-文本,您的工作地点是,您的最高学历是
1,NRjPpKG5RBg,oe4XWbJe,2026-04-03 22:05:58,2026-04-03 22:09:12,194,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,175.1.139.103,112.8584030,27.7235700,湖南省,湘潭市,MOBILE,Android,Chrome,377px*831px,Stimuli D. human loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,2次,60,,,,1,1,0,6,7,7,6.66666666666667,5,5,6,5.33333333333333,6,5,5,5.33333333333333,5,5,6,6,5,5.4,5,5,6,5,6,6,5.5,0,25,全职员工（每周 ≥35 小时）,,混合办公（办公室 + 远程）,需要,文创 / 传媒 / 广告（如：媒体、艺术、内容创作、设计、市场营销、广告、公关等）,,新一线城市及省会（如：成都、武汉、南京、重庆、武汉、天津、苏州、长沙、东莞、青岛、宁波、合肥、西安、郑州、佛山等）,本科
2,bNPoApB5pqJ,5M2a92Oe,2026-04-03 21:51:33,2026-04-03 22:03:11,698,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,112.40.225.18,123.1785790,41.2612610,辽宁省,辽阳市,MOBILE,Android,Chrome,370px*816px,Stimuli C. human gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,100,,,1,,1,1,6,5,7,6,7,6,6,6.33333333333333,7,6,7,6.66666666666667,6,6,7,6,7,6.4,6,7,6,7,6,7,6.5,0,49,全职员工（每周 ≥35 小时）,,工作地点不固定 / 经常外出工作,需要,医疗 / 健康（如：医生、护士、药学、公共卫生、健康管理等）,,三线及以下城市,高中及以下
3,lxyAZkyoj99,7lOzGWqM,2026-04-03 21:54:35,2026-04-03 22:00:57,382,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,123.10.108.17,114.0008890,33.5494910,河南省,漯河市,MOBILE,iOS,Apple WebKit,430px*932px,"Stimuli B. AI loss,Stimuli B. AI loss",本人已閱讀及明白上述內容，我同意參與這項研究,是,3次, 60,,1,,,0,0,5,7,6,6,7,5,6,6,5,6,4,5,5,7,6,5,7,6,5,7,6,6,5,4,5.5,0,27,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,政府 / 公共服务（如：政府机构、事业单位、公共管理、社会服务机构等）,,新一线城市及省会（如：成都、武汉、南京、重庆、武汉、天津、苏州、长沙、东莞、青岛、宁波、合肥、西安、郑州、佛山等）,硕士及以上
4,Q451995Vv3W,Ke53YNV7,2026-04-03 21:51:18,2026-04-03 21:59:56,518,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,223.104.76.190,113.3944980,23.1710940,广东省,广州市,MOBILE,Android,Chrome,360px*800px,Stimuli B. AI loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,3次,30,,1,,,0,0,5,6,5,5.33333333333333,5,6,7,6,5,6,5,5.33333333333333,6,5,6,5,6,5.6,5,7,6,5,6,5,5.66666666666667,0,26,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,文创 / 传媒 / 广告（如：媒体、艺术、内容创作、设计、市场营销、广告、公关等）,,一线城市（如：北京、上海、广州、深圳、杭州）,本科
5,Q4519BbGg6q,epDPwXBe,2026-04-03 21:51:22,2026-04-03 21:59:44,502,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,117.150.41.59,112.1327330,32.0484340,湖北省,襄阳市,MOBILE,Android,Chrome,362px*782px,Stimuli C. human gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,3次,30,,,1,,1,1,5,6,6,5.66666666666667,5,7,6,6,5,6,5,5.33333333333333,5,5,6,5,7,5.6,5,5,7,5,6,5,5.5,1,41,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,零售 / 服务业（如：销售、餐饮、酒店、客户服务、物流、电商运营等）,,新一线城市及省会（如：成都、武汉、南京、重庆、武汉、天津、苏州、长沙、东莞、青岛、宁波、合肥、西安、郑州、佛山等）,硕士及以上
6,oBgGvn5E5JB,LVJEEVaL,2026-04-03 21:51:23,2026-04-03 21:59:43,500,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,182.102.223.166,115.5806190,28.8566370,江西省,赣州市,MOBILE,Android,Chrome,360px*800px,Stimuli B. AI loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,2次,60,,1,,,0,0,5,6,5,5.33333333333333,5,4,5,4.66666666666667,5,4,5,4.66666666666667,5,4,4,5,5,4.6,5,6,6,4,5,5,5.16666666666667,0,22,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,金融 / 法律 / 咨询（如：银行、保险、投资、证券、会计、法律服务、管理咨询等）,,三线及以下城市,本科
7,mn8NvPXXy6D,p7YRjwzL,2026-04-03 21:51:37,2026-04-03 21:57:55,378,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,223.104.86.125,113.0403770,22.4870640,广东省,广州市,MOBILE,Android,Chrome,360px*780px,Stimuli D. human loss,本人已閱讀及明白上述內容，我同意參與這項研究,否,3次,60,,,,1,1,0,6,5,7,6,5,7,6,6,4,6,5,5,6,5,7,5,6,5.8,6,7,6,6,5,7,6.16666666666667,0,28,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,制造 / 工程（如：制造业、机械工程、建筑工程、生产管理等）,,三线及以下城市,本科
8,oBgGvzZojdO,J7BVOxd7,2026-04-03 21:51:32,2026-04-03 21:57:28,356,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,112.86.93.211,120.4910402,31.3203018,江苏省,苏州市,MOBILE,iOS,Apple WebKit,402px*874px,Stimuli D. human loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,3次,40分钟,,,,1,1,0,5,6,7,6,5,6,7,6,6,6,7,6.33333333333333,5,6,6,7,5,5.8,5,6,7,5,6,6,5.83333333333333,0,32,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,制造 / 工程（如：制造业、机械工程、建筑工程、生产管理等）,,新一线城市及省会（如：成都、武汉、南京、重庆、武汉、天津、苏州、长沙、东莞、青岛、宁波、合肥、西安、郑州、佛山等）,本科
9,Q451980RNYY,7XAEk6rL,2026-04-03 21:51:20,2026-04-03 21:56:29,309,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,183.241.129.241,116.7431740,39.8858944,北京市,市辖区,MOBILE,iOS,Apple WebKit,393px*852px,Stimuli C. human gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,0次,0,,,1,,0,1,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,7,6.2,5,7,7,6,5,6,6,0,36,全职员工（每周 ≥35 小时）,,主要远程办公 / 居家办公,需要,金融 / 法律 / 咨询（如：银行、保险、投资、证券、会计、法律服务、管理咨询等）,,一线城市（如：北京、上海、广州、深圳、杭州）,硕士及以上
10,nNqZv0k5OgB,MDPnpaQM,2026-04-03 21:51:18,2026-04-03 21:56:25,307,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,120.229.254.239,116.5916665,23.4202093,广东省,汕头市,MOBILE,iOS,Apple WebKit,393px*852px,Stimuli D. human loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,2次,90,,,,1,0,0,5,6,6,5.66666666666667,5,5,4,4.66666666666667,6,5,5,5.33333333333333,5,5,4,6,5,5,5,6,6,5,6,6,5.66666666666667,0,28,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,政府 / 公共服务（如：政府机构、事业单位、公共管理、社会服务机构等）,,三线及以下城市,副学士 / 大专
