row,stimulus,Source_current,Frame_current,Source_clean_label,Frame_clean_label,Source_AI,Frame_Gain,Intention,HealthC,main_model_complete,current_matches_clean,single_stimulus_text
1,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,5.33333333333333,5.5,True,True,True
2,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,6.33333333333333,6.5,True,True,True
3,"Stimuli B. AI loss,Stimuli B. AI loss",0.0,0.0,AI coach,Loss frame,1.0,0.0,6.0,5.5,True,True,False
4,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.0,5.66666666666667,True,True,True
5,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,6.0,5.5,True,True,True
6,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,4.66666666666667,5.16666666666667,True,True,True
7,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,6.0,6.16666666666667,True,True,True
8,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,6.0,5.83333333333333,True,True,True
9,Stimuli C. human gain,0.0,1.0,Human expert,Gain frame,0.0,1.0,6.0,6.0,True,False,True
10,Stimuli D. human loss,0.0,0.0,Human expert,Loss frame,0.0,0.0,4.66666666666667,5.66666666666667,True,False,True
11,"Stimuli C. human gain,Stimuli C. human gain,Stimuli C. human gain",1.0,1.0,Human expert,Gain frame,0.0,1.0,5.66666666666667,5.83333333333333,True,True,False
12,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.0,6.33333333333333,True,True,True
13,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.33333333333333,5.83333333333333,True,True,True
14,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,6.0,6.0,True,True,True
15,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,5.33333333333333,5.5,True,True,True
16,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,4.66666666666667,4.5,True,True,True
17,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,5.66666666666667,5.5,True,True,True
18,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,6.66666666666667,6.5,True,True,True
19,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,6.33333333333333,6.33333333333333,True,True,True
20,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,5.33333333333333,5.66666666666667,True,True,True
21,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,5.66666666666667,5.83333333333333,True,True,True
22,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,7.0,7.0,True,True,True
23,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,5.66666666666667,5.66666666666667,True,True,True
24,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,6.0,5.33333333333333,True,True,True
25,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,5.33333333333333,6.0,True,True,True
