Path,β,SE,p,Sig,95% CI
Attitude ← Source,0.0478,0.0877,0.5855,,"[-0.126, 0.22]"
Attitude ← Frame,0.0884,0.0873,0.3113,,"[-0.08, 0.262]"
Attitude ← Sex,0.091,0.0862,0.291,,"[-0.076, 0.26]"
Trust ← Source,-0.4951,0.0922,0.0,***,"[-0.676, -0.313]"
Trust ← Frame,0.0681,0.0914,0.4565,,"[-0.113, 0.245]"
Trust ← Sex,0.0662,0.09,0.4621,,"[-0.112, 0.246]"
SE ← Frame,0.0838,0.1275,0.511,,"[-0.169, 0.337]"
SE ← Source,-0.3033,0.1288,0.0185,*,"[-0.549, -0.05]"
SE ← Sex,0.2467,0.1237,0.0462,*,"[0.004, 0.494]"
Intention ← Source,0.0198,0.0652,0.7617,,"[-0.106, 0.15]"
Intention ← Frame,0.0205,0.0593,0.73,,"[-0.098, 0.133]"
Intention ← Attitude,0.6943,0.0807,0.0,***,"[0.517, 0.832]"
Intention ← Trust,0.0269,0.0588,0.6473,,"[-0.079, 0.153]"
Intention ← SE,0.1025,0.0415,0.0134,*,"[0.026, 0.188]"
Intention ← HC_c,0.1689,0.1034,0.1024,,"[-0.022, 0.385]"
Intention ← Source_HC,0.0007,0.1144,0.9948,,"[-0.235, 0.213]"
Intention ← Sex,0.044,0.059,0.4565,,"[-0.074, 0.161]"
